0.1387	0.1387	0.1387	0.1387	0.1391	0.1399	0.1409	0.1448	0.1527
0.1387	0.1387	0.1387	0.1387	0.1391	0.1399	0.1409	0.1448	0.1527
0.1386	0.1386	0.1386	0.1386	0.139	0.1398	0.1409	0.1448	0.153
0.1386	0.1386	0.1386	0.1386	0.139	0.1398	0.141	0.1449	0.1532
0.1386	0.1386	0.1386	0.1386	0.139	0.1397	0.141	0.1449	0.1536
0.1391	0.1391	0.1391	0.1391	0.1392	0.1403	0.1418	0.1455	0.1549
0.1401	0.1401	0.1401	0.1404	0.14	0.1405	0.1427	0.1472	0.1575
0.1434	0.1434	0.1433	0.1435	0.1434	0.1437	0.1456	0.1508	0.1638
0.1597	0.1595	0.1592	0.1579	0.1574	0.1537	0.1536	0.1625	0.1774
0.155	0.155	0.155	0.1551	0.1552	0.1565	0.1584	0.1628	0.1674
0.155	0.155	0.155	0.1551	0.1552	0.1565	0.1584	0.1628	0.1674
0.1551	0.1551	0.1551	0.1552	0.1553	0.1566	0.1584	0.1627	0.1675
0.1552	0.1552	0.1552	0.1553	0.1554	0.1567	0.1587	0.163	0.1676
0.1553	0.1553	0.1553	0.1554	0.1556	0.1569	0.1588	0.1631	0.1677
0.1569	0.1569	0.157	0.157	0.1571	0.158	0.16	0.164	0.1688
0.1578	0.1578	0.1578	0.1577	0.158	0.1602	0.1613	0.1652	0.1707
0.1593	0.1593	0.1595	0.1598	0.1603	0.1595	0.1637	0.1671	0.1755
0.1731	0.1735	0.1732	0.1718	0.1691	0.1671	0.1666	0.1724	0.1802
0.7063	0.7063	0.7063	0.7062	0.7057	0.7036	0.7007	0.6924	0.6799
0.7063	0.7063	0.7063	0.7062	0.7057	0.7036	0.7007	0.6924	0.6799
0.7063	0.7063	0.7063	0.7062	0.7057	0.7036	0.7007	0.6925	0.6795
0.7062	0.7062	0.7062	0.7061	0.7056	0.7035	0.7003	0.6921	0.6792
0.7061	0.7061	0.7061	0.706	0.7054	0.7034	0.7002	0.692	0.6787
0.704	0.704	0.7039	0.7039	0.7037	0.7017	0.6982	0.6905	0.6763
0.7021	0.7021	0.7021	0.7019	0.702	0.6993	0.696	0.6877	0.6717
0.6973	0.6973	0.6972	0.6967	0.6963	0.6968	0.6907	0.6821	0.6607
0.6672	0.667	0.6676	0.6702	0.6735	0.6792	0.6798	0.6651	0.6424
