0.0672	0.0674	0.0674	0.0677	0.0689	0.0739	0.0803	0.0969	0.1225
0.0672	0.0674	0.0674	0.0677	0.0689	0.0739	0.0803	0.0969	0.1224
0.0672	0.0674	0.0674	0.0677	0.0689	0.0741	0.0804	0.0971	0.1231
0.0675	0.0677	0.0677	0.068	0.0692	0.0744	0.0808	0.0979	0.124
0.0685	0.0687	0.0687	0.0689	0.0701	0.0755	0.082	0.0988	0.1251
0.0722	0.0724	0.0725	0.0727	0.073	0.0785	0.085	0.1019	0.1307
0.0778	0.0777	0.0777	0.0787	0.0792	0.0845	0.0918	0.1098	0.1443
0.0958	0.0958	0.0958	0.096	0.0966	0.0995	0.1106	0.1324	0.1767
0.1843	0.1845	0.1849	0.1836	0.1767	0.1552	0.1603	0.192	0.2499
0.9328	0.9326	0.9326	0.9323	0.9311	0.9261	0.9197	0.9031	0.8775
0.9328	0.9326	0.9326	0.9323	0.9311	0.9261	0.9197	0.9031	0.8776
0.9328	0.9326	0.9326	0.9323	0.9311	0.9259	0.9196	0.9029	0.8769
0.9325	0.9323	0.9323	0.932	0.9308	0.9256	0.9192	0.9021	0.876
0.9315	0.9313	0.9313	0.9311	0.9299	0.9245	0.918	0.9012	0.8749
0.9278	0.9276	0.9275	0.9273	0.927	0.9215	0.915	0.8981	0.8693
0.9222	0.9223	0.9223	0.9213	0.9208	0.9155	0.9082	0.8902	0.8557
0.9042	0.9042	0.9042	0.904	0.9034	0.9005	0.8894	0.8676	0.8233
0.8157	0.8155	0.8151	0.8164	0.8233	0.8448	0.8397	0.808	0.7501
