0.0748	0.0749	0.0751	0.0755	0.0767	0.0799	0.0859	0.1014	0.1259
0.0748	0.0749	0.0751	0.0755	0.0767	0.0799	0.0859	0.1014	0.1258
0.0748	0.0749	0.0751	0.0755	0.0766	0.0799	0.0859	0.1015	0.1266
0.0752	0.0752	0.0755	0.0759	0.0769	0.0804	0.0867	0.1021	0.1278
0.0765	0.0765	0.0768	0.0771	0.0781	0.0822	0.088	0.1038	0.1295
0.0812	0.0812	0.0815	0.0817	0.083	0.0859	0.0926	0.1094	0.135
0.0914	0.0917	0.0917	0.0929	0.0938	0.0971	0.1051	0.1199	0.1501
0.1128	0.1128	0.1122	0.1126	0.1145	0.1182	0.128	0.1458	0.1853
0.2093	0.2189	0.2185	0.2064	0.2038	0.1764	0.1939	0.2091	0.2662
0.9252	0.9251	0.9249	0.9245	0.9233	0.9201	0.9141	0.8986	0.8741
0.9252	0.9251	0.9249	0.9245	0.9233	0.9201	0.9141	0.8986	0.8742
0.9252	0.9251	0.9249	0.9245	0.9234	0.9201	0.9141	0.8985	0.8734
0.9248	0.9248	0.9245	0.9241	0.9231	0.9196	0.9133	0.8979	0.8722
0.9235	0.9235	0.9232	0.9229	0.9219	0.9178	0.912	0.8962	0.8705
0.9188	0.9188	0.9185	0.9183	0.917	0.9141	0.9074	0.8906	0.865
0.9086	0.9083	0.9083	0.9071	0.9062	0.9029	0.8949	0.8801	0.8499
0.8872	0.8872	0.8878	0.8874	0.8855	0.8818	0.872	0.8542	0.8147
0.7907	0.7811	0.7815	0.7936	0.7962	0.8236	0.8061	0.7909	0.7338
